tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
minimap2,map,sim0,maize,se,10000,50000,100.0,0,99.736,99.20981,,123.895,5.1211
minimap2,map,sim4,maize,se,1000,500000,99.8424,394,97.3518,90.58244,,62.386,4.96341
minimap2,map,sim4,maize,se,5000,100000,99.719,281,99.272,97.74971,,91.315,5.05122
minimap2,map,sim4,maize,se,10000,50000,99.526,237,99.274,98.49088,,99.796,5.08453
minimap2,map,sim6,maize,se,1000,500000,99.0216,368,89.6164,75.06929,,25.490,4.97923
minimap2,map,sim6,maize,se,5000,100000,99.758,242,98.942,94.75223,,32.640,4.88376
minimap2,map,sim6,maize,se,10000,50000,99.522,239,99.166,97.02784,,35.508,4.91819
strobealign-caa3745f-mcsoff,map,sim0,CHM13,se,1000,500000,100.0,0,96.6822,95.24314,,7.1,10.9077
strobealign-caa3745f-mcsoff,map,sim0,CHM13,se,5000,100000,100.0,0,99.1,98.68274,,7.5,10.9897
strobealign-caa3745f-mcsoff,map,sim0,CHM13,se,10000,50000,100.0,0,99.448,99.2118,,8.1,10.9994
strobealign-caa3745f-mcsoff,map,sim4,CHM13,se,1000,500000,99.926,370,95.9496,91.32735,,6.4,11.211
strobealign-caa3745f-mcsoff,map,sim4,CHM13,se,5000,100000,99.748,252,98.564,97.29883,,6.7,11.2061
strobealign-caa3745f-mcsoff,map,sim4,CHM13,se,10000,50000,99.55,225,98.838,98.11636,,7.1,11.2591
strobealign-caa3745f-mcsoff,map,sim6,CHM13,se,1000,500000,97.0282,365,87.0542,45.20418,,21.5,11.4417
strobealign-caa3745f-mcsoff,map,sim6,CHM13,se,5000,100000,99.782,218,95.888,80.41615,,25.6,11.407
strobealign-caa3745f-mcsoff,map,sim6,CHM13,se,10000,50000,99.554,223,97.14,88.35401,,28.0,11.5031
strobealign-caa3745f,map,sim0,CHM13,se,1000,500000,100.0,0,96.719,95.57311,,7.1,10.8604
strobealign-caa3745f,map,sim0,CHM13,se,5000,100000,100.0,0,99.136,98.78144,,7.0,10.8633
strobealign-caa3745f,map,sim0,CHM13,se,10000,50000,100.0,0,99.46,99.25448,,7.5,10.8644
strobealign-caa3745f,map,sim4,CHM13,se,1000,500000,99.926,370,96.1622,93.58881,,5.9,11.0549
strobealign-caa3745f,map,sim4,CHM13,se,5000,100000,99.748,252,98.685,97.85,,6.1,11.0381
strobealign-caa3745f,map,sim4,CHM13,se,10000,50000,99.55,225,98.952,98.44513,,6.4,11.0558
strobealign-caa3745f,map,sim6,CHM13,se,1000,500000,99.9242,379,93.5604,82.92679,,5.5,11.2008
strobealign-caa3745f,map,sim6,CHM13,se,5000,100000,99.782,218,96.744,93.57033,,5.3,11.1799
strobealign-caa3745f,map,sim6,CHM13,se,10000,50000,99.554,223,97.568,95.3553,,5.7,11.1796
strobealign-caa3745f-k16s12l2u2,map,sim0,CHM13,se,1000,500000,100.0,0,96.6752,95.26962,,15.8,14.5926
strobealign-caa3745f-k16s12l2u2,map,sim0,CHM13,se,5000,100000,100.0,0,99.063,98.62516,,17.1,14.601
strobealign-caa3745f-k16s12l2u2,map,sim0,CHM13,se,10000,50000,100.0,0,99.434,99.15419,,18.8,14.6176
strobealign-caa3745f-k16s12l2u2,map,sim4,CHM13,se,1000,500000,99.926,370,96.3638,94.07054,,14.3,14.7536
strobealign-caa3745f-k16s12l2u2,map,sim4,CHM13,se,5000,100000,99.748,252,98.757,97.95439,,16.8,14.7726
strobealign-caa3745f-k16s12l2u2,map,sim4,CHM13,se,10000,50000,99.55,225,99.004,98.40377,,19.0,14.804
strobealign-caa3745f-k16s12l2u2,map,sim6,CHM13,se,1000,500000,99.9242,379,94.2554,87.66285,,11.7,14.7303
strobealign-caa3745f-k16s12l2u2,map,sim6,CHM13,se,5000,100000,99.782,218,96.827,94.088,,12.7,14.734
strobealign-caa3745f-k16s12l2u2,map,sim6,CHM13,se,10000,50000,99.554,223,97.358,94.96048,,14.7,14.7456
minimap2,map,sim0,CHM13,se,1000,500000,99.5546,0,96.4564,93.21064,,25.127,11.3242
minimap2,map,sim0,CHM13,se,5000,100000,100.0,0,98.964,98.11894,,27.093,11.3243
minimap2,map,sim0,CHM13,se,10000,50000,100.0,0,99.44,98.99397,,28.512,11.3245
minimap2,map,sim4,CHM13,se,1000,500000,99.2482,364,95.8562,91.27798,,25.413,11.3247
minimap2,map,sim4,CHM13,se,5000,100000,99.748,252,98.514,97.20527,,26.644,11.3243
minimap2,map,sim4,CHM13,se,10000,50000,99.55,225,98.934,98.23116,,27.400,11.3243
minimap2,map,sim6,CHM13,se,1000,500000,97.215,369,93.38,81.61686,,22.642,11.3244
minimap2,map,sim6,CHM13,se,5000,100000,99.726,218,97.01,93.74917,,23.017,11.3243
minimap2,map,sim6,CHM13,se,10000,50000,99.554,223,97.936,95.94973,,23.101,11.3246
strobealign-caa3745f-mcsoff,map,sim0,rye,se,1000,500000,100.0,0,96.7022,94.43646,,18.9,25.0052
strobealign-caa3745f-mcsoff,map,sim0,rye,se,5000,100000,100.0,0,99.183,98.70964,,26.9,25.5286
strobealign-caa3745f-mcsoff,map,sim0,rye,se,10000,50000,100.0,0,99.68,99.43516,,34.6,25.6028
strobealign-caa3745f-mcsoff,map,sim4,rye,se,1000,500000,99.9232,384,95.8548,89.44112,,17.3,25.301
strobealign-caa3745f-mcsoff,map,sim4,rye,se,5000,100000,99.773,227,98.657,97.14672,,22.7,25.707
strobealign-caa3745f-mcsoff,map,sim4,rye,se,10000,50000,99.52,240,98.974,98.1941,,29.5,26.0574
strobealign-caa3745f-mcsoff,map,sim6,rye,se,1000,500000,98.8986,349,68.757,37.06668,,34.2,25.8171
strobealign-caa3745f-mcsoff,map,sim6,rye,se,5000,100000,99.776,224,95.507,77.61236,,76.6,27.7327
strobealign-caa3745f-mcsoff,map,sim6,rye,se,10000,50000,99.574,213,97.732,87.15686,,83.5,27.5648
