tool,type,dataset,genome,read_length,aligned,accuracy,overaligned,time,memory
strobealign-mcs-022a721,map,sim4,drosophila,100,99.6193,88.2473,1597,5.20,0.772995
strobealign-mcs-022a721,map,sim4,drosophila,150,99.5905,89.8141,2055,6.53,0.820065
strobealign-mcs-022a721,map,sim4,drosophila,200,99.539,90.8082,2740,7.63,0.86195
strobealign-mcs-022a721,map,sim4,drosophila,300,99.428,92.0986,4261,11.06,0.948921
strobealign-mcs-022a721,map,sim4,drosophila,500,99.2182,93.2426,6935,12.91,0.99601
strobealign-mcs-022a721,map,sim5,drosophila,50,97.2505,82.3635,1945,3.70,0.732067
strobealign-mcs-022a721,map,sim5,drosophila,75,97.7708,85.361,1747,4.86,0.754433
strobealign-mcs-022a721,map,sim5,drosophila,100,98.7751,87.0503,3100,5.27,0.774639
strobealign-mcs-022a721,map,sim5,drosophila,150,99.1207,89.0068,3940,6.45,0.818188
strobealign-mcs-022a721,map,sim5,drosophila,200,99.0697,90.0266,5293,7.72,0.862186
strobealign-mcs-022a721,map,sim5,drosophila,300,98.8896,91.4041,8050,10.69,0.95155
strobealign-mcs-022a721,map,sim5,drosophila,500,98.5462,92.1939,12599,11.77,0.962479
minimap2,map,sim3,drosophila,50,92.1518,79.5481,178,10.705,1.02971
minimap2,map,sim3,drosophila,75,99.2447,87.2908,399,15.032,1.01402
minimap2,map,sim3,drosophila,100,99.7443,88.9176,660,6.991,0.98045
minimap2,map,sim3,drosophila,150,99.7854,90.57,1061,9.197,0.962883
minimap2,map,sim3,drosophila,200,99.7451,91.6701,1504,11.152,0.93293
minimap2,map,sim3,drosophila,300,99.6952,92.9997,2258,16.848,0.876724
minimap2,map,sim3,drosophila,500,99.5781,94.436,3765,30.355,0.859634
minimap2,map,sim4,drosophila,50,83.818,72.2533,274,10.519,1.03057
minimap2,map,sim4,drosophila,75,97.3055,85.3245,712,14.289,1.00338
minimap2,map,sim4,drosophila,100,99.2387,88.2033,1142,6.802,0.97662
minimap2,map,sim4,drosophila,150,99.5822,90.2003,1930,8.773,0.954494
minimap2,map,sim4,drosophila,200,99.5394,91.2908,2683,10.983,0.944042
minimap2,map,sim4,drosophila,300,99.428,92.5756,4202,15.686,0.869862
minimap2,map,sim4,drosophila,500,99.2182,93.99,6933,27.286,0.85416
minimap2,map,sim5,drosophila,50,81.2385,69.9573,496,10.365,1.00785
minimap2,map,sim5,drosophila,75,95.1085,83.3583,1371,15.015,1.00305
minimap2,map,sim5,drosophila,100,97.5811,86.6598,2219,6.639,0.97678
minimap2,map,sim5,drosophila,150,98.913,89.4396,3696,8.472,0.966221
minimap2,map,sim5,drosophila,200,99.0614,90.7024,5132,10.380,0.91592
minimap2,map,sim5,drosophila,300,98.8895,91.9941,7952,14.746,0.868042
minimap2,map,sim5,drosophila,500,98.5462,93.0724,12612,23.690,0.847965
strobealign-0.14.0,align,sim3,maize,50,96.4244,48.0752,1561,27.89,9.78293
strobealign-0.14.0,align,sim3,maize,75,99.0195,61.8245,1770,31.51,9.78904
strobealign-0.14.0,align,sim3,maize,100,99.516,70.5031,1878,32.36,9.79756
strobealign-0.14.0,align,sim3,maize,150,99.7324,81.2187,2195,34.65,9.80073
strobealign-0.14.0,align,sim3,maize,200,99.753,86.7521,2389,40.74,9.86213
strobealign-0.14.0,align,sim3,maize,300,99.6873,91.8069,3115,65.88,9.99091
strobealign-0.14.0,align,sim3,maize,500,99.5686,95.399,4307,99.09,8.34174
strobealign-0.14.0,align,sim4,maize,50,93.8463,44.9748,3148,27.79,9.78289
strobealign-0.14.0,align,sim4,maize,75,98.099,59.1555,3380,33.81,9.78896
strobealign-0.14.0,align,sim4,maize,100,98.7384,67.6694,3622,35.75,9.79733
strobealign-0.14.0,align,sim4,maize,150,99.2869,78.9445,4148,42.86,9.80448
strobealign-0.14.0,align,sim4,maize,200,99.4261,84.9215,4934,54.82,9.8531
strobealign-0.14.0,align,sim4,maize,300,99.4057,90.5812,5920,88.22,9.9733
strobealign-0.14.0,align,sim4,maize,500,99.2043,94.4401,7955,153.28,8.35492
strobealign-0.14.0,align,sim5,maize,50,91.5472,43.6054,6175,27.87,9.78287
strobealign-0.14.0,align,sim5,maize,75,96.1785,57.5045,6641,34.37,9.78911
strobealign-0.14.0,align,sim5,maize,100,97.0344,65.819,7257,36.27,9.79748
strobealign-0.14.0,align,sim5,maize,150,97.7801,76.8637,8206,43.65,9.80439
strobealign-0.14.0,align,sim5,maize,200,98.4484,83.2078,9236,61.70,9.8626
strobealign-0.14.0,align,sim5,maize,300,98.8337,89.4927,11322,112.18,9.96989
strobealign-0.14.0,align,sim5,maize,500,98.4439,93.3375,15553,226.49,8.34642
strobealign-mcs-022a721,align,sim3,maize,50,97.8307,49.3253,1561,37.68,9.76456
strobealign-mcs-022a721,align,sim3,maize,75,99.5736,62.1955,1770,37.99,9.78475
strobealign-mcs-022a721,align,sim3,maize,100,99.8044,70.9415,1878,33.44,9.78876
strobealign-mcs-022a721,align,sim3,maize,150,99.7755,81.3219,2195,44.60,9.80475
strobealign-mcs-022a721,align,sim3,maize,200,99.7575,86.8462,2389,50.90,9.84829
strobealign-mcs-022a721,align,sim3,maize,300,99.6878,92.0087,3115,73.70,9.97268
strobealign-mcs-022a721,align,sim3,maize,500,99.5689,95.5631,4307,102.32,8.35218
strobealign-mcs-022a721,align,sim4,maize,50,97.7773,47.5734,3148,37.27,9.76465
strobealign-mcs-022a721,align,sim4,maize,75,99.2788,60.3005,3380,38.90,9.78495
strobealign-mcs-022a721,align,sim4,maize,100,99.6287,68.9778,3622,38.58,9.7889
strobealign-mcs-022a721,align,sim4,maize,150,99.5809,79.52,4148,50.03,9.80476
strobealign-mcs-022a721,align,sim4,maize,200,99.505,85.3071,4934,62.32,9.87243
strobealign-mcs-022a721,align,sim4,maize,300,99.4075,90.8353,5920,96.26,9.97296
strobealign-mcs-022a721,align,sim4,maize,500,99.2044,94.6569,7955,153.49,8.34353
strobealign-mcs-022a721,align,sim5,maize,50,96.8282,46.2716,6175,38.29,9.76466
strobealign-mcs-022a721,align,sim5,maize,75,97.8353,58.7456,6641,40.05,9.78474
strobealign-mcs-022a721,align,sim5,maize,100,99.0258,67.3546,7257,39.67,9.78483
strobealign-mcs-022a721,align,sim5,maize,150,99.1254,77.9873,8206,53.06,9.80475
strobealign-mcs-022a721,align,sim5,maize,200,99.065,83.9268,9236,71.27,9.86008
strobealign-mcs-022a721,align,sim5,maize,300,98.8673,89.771,11322,120.07,9.96701
strobealign-mcs-022a721,align,sim5,maize,500,98.4447,93.5804,15553,226.25,8.35939
bwamem,align,sim3,maize,50,99.6124,50.797,1561,104.525,13.4157
bwamem,align,sim3,maize,75,99.7603,63.8201,1770,104.505,10.3011
bwamem,align,sim3,maize,100,99.8081,72.4989,1878,100.856,7.64947
bwamem,align,sim3,maize,150,99.7805,82.4973,2195,139.871,5.69028
bwamem,align,sim3,maize,200,99.7611,87.6817,2389,186.739,4.9557
bwamem,align,sim3,maize,300,99.6885,92.5609,3115,293.238,4.42974
bwamem,align,sim3,maize,500,99.5693,95.9732,4307,546.272,4.2289
bwamem,align,sim4,maize,50,98.5205,49.6154,3148,110.784,13.5151
bwamem,align,sim4,maize,75,99.3489,62.8248,3380,126.787,10.9077
bwamem,align,sim4,maize,100,99.5967,71.5074,3622,133.373,8.23543
bwamem,align,sim4,maize,150,99.585,81.6886,4148,195.103,6.11565
bwamem,align,sim4,maize,200,99.5066,87.0163,4934,266.212,5.25943
bwamem,align,sim4,maize,300,99.408,92.0306,5920,417.563,4.60819
bwamem,align,sim4,maize,500,99.2045,95.5088,7955,754.264,4.25537
bwamem,align,sim5,maize,50,95.932,48.0441,6175,110.898,13.3553
bwamem,align,sim5,maize,75,97.5522,61.1599,6641,126.474,10.9207
bwamem,align,sim5,maize,100,98.3521,69.8094,7257,136.000,8.33999
bwamem,align,sim5,maize,150,99.119,80.1978,8206,200.058,6.26361
bwamem,align,sim5,maize,200,99.0697,85.7072,9236,271.002,5.36356
bwamem,align,sim5,maize,300,98.8678,90.9797,11322,423.816,4.66708
bwamem,align,sim5,maize,500,98.4447,94.5559,15553,780.074,4.28822
minimap2,align,sim3,maize,50,88.585,45.561,1561,58.245,9.07959
minimap2,align,sim3,maize,75,97.2411,61.9235,1770,74.703,8.89822
minimap2,align,sim3,maize,100,98.7779,71.0801,1878,76.733,8.54829
minimap2,align,sim3,maize,150,99.4576,81.4509,2195,101.533,8.31752
minimap2,align,sim3,maize,200,99.6171,86.8545,2389,131.879,8.13729
minimap2,align,sim3,maize,300,99.6479,92.0642,3115,202.247,7.96038
minimap2,align,sim3,maize,500,99.5642,95.7526,4307,395.486,7.79596
minimap2,align,sim4,maize,50,82.5915,41.0722,3148,56.407,8.95361
minimap2,align,sim4,maize,75,95.9955,59.5654,3380,75.422,8.8364
minimap2,align,sim4,maize,100,98.4724,69.4438,3622,79.299,8.54914
minimap2,align,sim4,maize,150,99.3451,80.3013,4148,102.024,8.31228
minimap2,align,sim4,maize,200,99.4233,85.8874,4934,126.905,8.13798
minimap2,align,sim4,maize,300,99.3933,91.3508,5920,199.360,7.95693
minimap2,align,sim4,maize,500,99.2027,95.193,7955,387.888,7.79156
minimap2,align,sim5,maize,50,80.0567,39.6913,6175,55.652,8.90733
minimap2,align,sim5,maize,75,93.8454,57.7856,6641,70.978,8.80546
minimap2,align,sim5,maize,100,96.8175,67.6102,7257,79.779,8.52577
minimap2,align,sim5,maize,150,98.6352,78.7195,8206,100.348,8.30956
minimap2,align,sim5,maize,200,98.9494,84.6614,9236,128.916,8.13993
minimap2,align,sim5,maize,300,98.8462,90.2837,11322,201.525,7.95734
minimap2,align,sim5,maize,500,98.443,93.8576,15553,389.801,7.7885
strobealign-0.14.0,map,sim3,maize,50,96.4244,43.7613,269,23.86,9.78284
strobealign-0.14.0,map,sim3,maize,75,99.0195,56.6996,437,24.64,9.78893
strobealign-0.14.0,map,sim3,maize,100,99.516,65.1445,616,22.58,9.79751
strobealign-0.14.0,map,sim3,maize,150,99.7324,77.1221,972,22.49,9.80463
strobealign-0.14.0,map,sim3,maize,200,99.753,83.4503,1310,25.49,9.80582
strobealign-0.14.0,map,sim3,maize,300,99.6873,89.1819,2135,39.54,9.87693
strobealign-0.14.0,map,sim3,maize,500,99.5686,93.1743,3651,44.60,8.18092
strobealign-0.14.0,map,sim4,maize,50,93.8463,40.3554,429,21.10,9.78292
strobealign-0.14.0,map,sim4,maize,75,98.099,52.6961,883,22.76,9.78888
strobealign-0.14.0,map,sim4,maize,100,98.7384,60.512,1208,20.34,9.79755
strobealign-0.14.0,map,sim4,maize,150,99.2869,72.8637,1743,19.77,9.80464
strobealign-0.14.0,map,sim4,maize,200,99.4261,79.6312,2536,22.46,9.80572
strobealign-0.14.0,map,sim4,maize,300,99.4057,86.1282,4061,33.46,9.87744
strobealign-0.14.0,map,sim4,maize,500,99.2043,90.553,6774,38.99,8.18125
strobealign-0.14.0,map,sim5,maize,50,91.5472,39.1068,833,20.85,9.78288
strobealign-0.14.0,map,sim5,maize,75,96.1785,51.1771,1586,21.79,9.78889
strobealign-0.14.0,map,sim5,maize,100,97.0344,58.7319,2203,20.09,9.79749
strobealign-0.14.0,map,sim5,maize,150,97.7801,70.8091,3390,19.16,9.80439
strobealign-0.14.0,map,sim5,maize,200,98.4484,77.6617,4562,21.67,9.80588
strobealign-0.14.0,map,sim5,maize,300,98.8337,84.6116,7715,32.50,9.87712
strobealign-0.14.0,map,sim5,maize,500,98.4439,89.1274,13120,36.32,8.18078
strobealign-mcs-022a721,map,sim3,maize,50,97.8307,44.6644,945,31.38,9.76463
strobealign-mcs-022a721,map,sim3,maize,75,99.5736,56.9262,529,29.25,9.78485
strobealign-mcs-022a721,map,sim3,maize,100,99.8044,65.9238,1243,24.03,9.78881
strobealign-mcs-022a721,map,sim3,maize,150,99.7755,77.2652,1161,30.90,9.8047
strobealign-mcs-022a721,map,sim3,maize,200,99.7575,83.6602,1461,36.57,9.80367
strobealign-mcs-022a721,map,sim3,maize,300,99.6878,89.7671,2298,50.82,9.87791
strobealign-mcs-022a721,map,sim3,maize,500,99.5689,93.8291,3815,53.29,8.18082
strobealign-mcs-022a721,map,sim4,maize,50,97.7773,41.9941,1934,29.09,9.7646
strobealign-mcs-022a721,map,sim4,maize,75,99.2788,53.4427,1070,27.07,9.78495
strobealign-mcs-022a721,map,sim4,maize,100,99.6287,62.3152,2388,22.84,9.78872
strobealign-mcs-022a721,map,sim4,maize,150,99.5809,73.4569,2116,28.98,9.80456
strobealign-mcs-022a721,map,sim4,maize,200,99.505,80.1311,2936,33.34,9.80352
strobealign-mcs-022a721,map,sim4,maize,300,99.4075,86.9011,4386,45.16,9.8766
strobealign-mcs-022a721,map,sim4,maize,500,99.2044,91.4333,7073,49.93,8.17993
strobealign-mcs-022a721,map,sim5,maize,50,96.8282,40.7945,3853,28.43,9.76474
strobealign-mcs-022a721,map,sim5,maize,75,97.8353,52.0495,1931,26.91,9.78474
strobealign-mcs-022a721,map,sim5,maize,100,99.0258,60.6666,4582,21.97,9.7889
strobealign-mcs-022a721,map,sim5,maize,150,99.1254,71.7505,4133,28.63,9.80473
strobealign-mcs-022a721,map,sim5,maize,200,99.065,78.4474,5381,32.36,9.80349
strobealign-mcs-022a721,map,sim5,maize,300,98.8673,85.4173,8377,43.91,9.87822
strobealign-mcs-022a721,map,sim5,maize,500,98.4447,89.873,13782,48.67,8.18004
minimap2,map,sim3,maize,50,88.5855,40.4603,162,43.022,8.23655
minimap2,map,sim3,maize,75,97.2411,56.3248,397,57.128,8.1344
minimap2,map,sim3,maize,100,98.7781,65.8736,606,52.852,7.94006
minimap2,map,sim3,maize,150,99.4576,77.2688,1068,70.692,7.78527
minimap2,map,sim3,maize,200,99.6171,83.5804,1417,87.575,7.67863
minimap2,map,sim3,maize,300,99.6479,89.9199,2264,124.054,7.60626
minimap2,map,sim3,maize,500,99.5642,94.6181,3799,215.677,7.5491
minimap2,map,sim4,maize,50,82.594,36.2881,267,46.010,8.17851
