tool,type,dataset,genome,ends,read_length,aligned,accuracy,overaligned,time,memory
minimap2,map,sim5,drosophila,se,300,98.8895,91.9941,7952,7.045,0.891438
minimap2,map,sim5,drosophila,se,500,98.5462,93.0724,12612,11.254,0.858459
strobealign-0.14.0,align,sim3,maize,se,50,96.4244,48.0752,1561,11.65,9.78674
strobealign-0.14.0,align,sim3,maize,se,75,99.0195,61.8245,1770,12.57,9.79214
strobealign-0.14.0,align,sim3,maize,se,100,99.516,70.5031,1878,12.55,9.79971
strobealign-0.14.0,align,sim3,maize,se,150,99.7324,81.2187,2195,13.41,9.82341
strobealign-0.14.0,align,sim3,maize,se,200,99.753,86.7521,2389,16.91,9.88535
strobealign-0.14.0,align,sim3,maize,se,300,99.6873,91.8069,3115,27.90,10.018
strobealign-0.14.0,align,sim3,maize,se,500,99.5686,95.399,4307,44.58,8.34267
strobealign-0.14.0,align,sim4,maize,se,50,93.8463,44.9748,3148,11.23,9.78654
strobealign-0.14.0,align,sim4,maize,se,75,98.099,59.1555,3380,13.49,9.79114
strobealign-0.14.0,align,sim4,maize,se,100,98.7384,67.6694,3622,14.20,9.80006
strobealign-0.14.0,align,sim4,maize,se,150,99.2869,78.9445,4148,16.35,9.82769
strobealign-0.14.0,align,sim4,maize,se,200,99.4261,84.9215,4934,22.48,9.88971
strobealign-0.14.0,align,sim4,maize,se,300,99.4057,90.5812,5920,38.45,10.0323
strobealign-0.14.0,align,sim4,maize,se,500,99.2043,94.4401,7955,72.16,8.34657
strobealign-0.14.0,align,sim5,maize,se,50,91.5472,43.6054,6175,11.11,9.78661
strobealign-0.14.0,align,sim5,maize,se,75,96.1785,57.5045,6641,13.35,9.79236
strobealign-0.14.0,align,sim5,maize,se,100,97.0344,65.819,7257,14.50,9.80005
strobealign-0.14.0,align,sim5,maize,se,150,97.7801,76.8637,8206,17.63,9.82299
strobealign-0.14.0,align,sim5,maize,se,200,98.4484,83.2078,9236,26.14,9.87123
strobealign-0.14.0,align,sim5,maize,se,300,98.8337,89.4927,11322,49.81,10.0228
strobealign-0.14.0,align,sim5,maize,se,500,98.4439,93.3375,15553,110.64,8.35773
strobealign-mcs-022a721,align,sim3,maize,se,50,97.8307,49.3253,1561,14.99,9.76716
strobealign-mcs-022a721,align,sim3,maize,se,75,99.5736,62.1955,1770,14.53,9.79025
