tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
minimap2,align,sim6,CHM13,se,200,1000000,94.9892,237,84.6432,80.68126,88.2782,32.706,11.4705
minimap2,align,sim6,CHM13,se,300,1000000,99.1974,335,91.2639,86.66203,94.9555,42.186,11.4054
minimap2,align,sim6,CHM13,se,500,1000000,99.9324,449,94.035,89.65707,97.7124,60.846,11.3281
strobealign-caa3745f-mcsoff,map,sim0,CHM13,se,50,1000000,99.0662,0,85.1852,74.47031,,2.2,14.4236
strobealign-caa3745f-mcsoff,map,sim0,CHM13,se,75,1000000,99.6207,0,89.2076,80.98438,,2.5,14.4033
strobealign-caa3745f-mcsoff,map,sim0,CHM13,se,100,1000000,99.8179,0,90.9566,84.24305,,2.6,14.3951
strobealign-caa3745f-mcsoff,map,sim0,CHM13,se,150,1000000,99.9705,0,92.4867,87.64088,,3.0,14.4015
strobealign-caa3745f-mcsoff,map,sim0,CHM13,se,200,1000000,100.0,0,93.3248,89.54957,,3.7,14.4065
strobealign-caa3745f-mcsoff,map,sim0,CHM13,se,300,1000000,100.0,0,94.2922,91.53491,,5.5,14.4348
strobealign-caa3745f-mcsoff,map,sim0,CHM13,se,500,1000000,100.0,0,95.3788,92.9142,,6.7,10.9389
strobealign-caa3745f-mcsoff,map,sim4,CHM13,se,50,1000000,92.0374,38,75.9734,61.58319,,1.9,14.4278
strobealign-caa3745f-mcsoff,map,sim4,CHM13,se,75,1000000,97.6578,63,84.9728,68.09853,,2.2,14.4096
strobealign-caa3745f-mcsoff,map,sim4,CHM13,se,100,1000000,98.335,112,87.6266,70.44932,,2.3,14.4122
strobealign-caa3745f-mcsoff,map,sim4,CHM13,se,150,1000000,99.3478,143,90.7198,76.78095,,2.8,14.692
strobealign-caa3745f-mcsoff,map,sim4,CHM13,se,200,1000000,99.7865,195,92.22,80.14093,,3.3,14.7154
strobealign-caa3745f-mcsoff,map,sim4,CHM13,se,300,1000000,99.965,282,93.5201,84.28617,,4.5,14.7387
strobealign-caa3745f-mcsoff,map,sim4,CHM13,se,500,1000000,99.9521,465,94.627,86.77986,,5.8,11.2457
strobealign-caa3745f-mcsoff,map,sim6,CHM13,se,50,1000000,49.203,15,32.0681,20.64012,,1.0,14.4303
strobealign-caa3745f-mcsoff,map,sim6,CHM13,se,75,1000000,59.1815,35,41.7813,22.30306,,1.3,14.4099
strobealign-caa3745f-mcsoff,map,sim6,CHM13,se,100,1000000,55.3848,43,40.4474,19.91539,,1.2,14.4069
strobealign-caa3745f-mcsoff,map,sim6,CHM13,se,150,1000000,56.2223,68,42.1328,21.43287,,2.6,14.7826
strobealign-caa3745f-mcsoff,map,sim6,CHM13,se,200,1000000,57.7671,109,44.4319,21.61409,,3.3,14.7612
strobealign-caa3745f-mcsoff,map,sim6,CHM13,se,300,1000000,74.6733,220,60.8624,26.5288,,5.8,14.8825
strobealign-caa3745f-mcsoff,map,sim6,CHM13,se,500,1000000,82.0536,335,68.917,28.04473,,17.1,11.4093
strobealign-caa3745f,map,sim0,CHM13,se,50,1000000,99.0717,0,85.4469,76.97157,,2.7,14.4238
strobealign-caa3745f,map,sim0,CHM13,se,75,1000000,99.6226,0,89.3536,82.75405,,2.6,14.4039
strobealign-caa3745f,map,sim0,CHM13,se,100,1000000,99.8194,0,91.0853,85.8351,,2.7,14.3924
strobealign-caa3745f,map,sim0,CHM13,se,150,1000000,100.0,0,92.5906,88.99027,,3.4,14.4022
strobealign-caa3745f,map,sim0,CHM13,se,200,1000000,100.0,0,93.3951,90.64772,,4.1,14.3984
strobealign-caa3745f,map,sim0,CHM13,se,300,1000000,100.0,0,94.3494,92.28554,,6.0,14.4278
strobealign-caa3745f,map,sim0,CHM13,se,500,1000000,100.0,0,95.4531,93.57044,,7.0,10.8644
strobealign-caa3745f,map,sim4,CHM13,se,50,1000000,98.8805,53,81.7812,68.29448,,2.5,14.43
strobealign-caa3745f,map,sim4,CHM13,se,75,1000000,99.5776,71,87.3329,74.73149,,2.4,14.41
strobealign-caa3745f,map,sim4,CHM13,se,100,1000000,99.8664,117,89.6668,78.83732,,2.5,14.4165
strobealign-caa3745f,map,sim4,CHM13,se,150,1000000,99.9818,151,91.7694,83.64896,,3.1,14.4435
strobealign-caa3745f,map,sim4,CHM13,se,200,1000000,99.9769,200,92.719,85.79628,,3.6,14.4754
strobealign-caa3745f,map,sim4,CHM13,se,300,1000000,99.9694,286,93.7273,88.57671,,5.1,14.5383
strobealign-caa3745f,map,sim4,CHM13,se,500,1000000,99.9521,469,94.8306,90.54627,,5.9,11.0568
strobealign-caa3745f,map,sim6,CHM13,se,50,1000000,91.5182,57,50.4657,31.72688,,1.8,14.428
strobealign-caa3745f,map,sim6,CHM13,se,75,1000000,89.6498,62,64.11,36.94105,,1.8,14.4072
strobealign-caa3745f,map,sim6,CHM13,se,100,1000000,95.1928,86,72.5351,42.96313,,2.0,14.4138
strobealign-caa3745f,map,sim6,CHM13,se,150,1000000,98.9599,140,81.5088,52.93816,,2.4,14.5082
strobealign-caa3745f,map,sim6,CHM13,se,200,1000000,99.2309,215,84.9199,55.98096,,2.9,14.552
strobealign-caa3745f,map,sim6,CHM13,se,300,1000000,99.9064,321,89.2011,65.96333,,4.0,14.6156
strobealign-caa3745f,map,sim6,CHM13,se,500,1000000,99.9516,436,91.6048,72.73322,,5.8,11.226
strobealign-caa3745f-k16s12l2u2,map,sim0,CHM13,se,50,1000000,99.7918,0,85.1926,76.55597,,2.8,14.5254
strobealign-caa3745f-k16s12l2u2,map,sim0,CHM13,se,75,1000000,99.8286,0,88.8712,81.49791,,2.8,14.5252
