tool,mode,dataset,genome,ends,read_length,read_count,aligned,overaligned,accuracy,jaccuracy,saccuracy,time,memory
strobealign-caa3745f-mcsfirststrobe,align,sim0,maize,se,100,1000000,96.0024,0,72.4022,72.39964,94.5296,8.6,9.8165
strobealign-caa3745f-mcsfirststrobe,align,sim0,maize,se,150,1000000,100.0,0,82.3552,82.35463,98.2641,12.7,9.88908
strobealign-caa3745f-mcsfirststrobe,align,sim0,maize,se,200,1000000,100.0,0,87.6778,87.677,98.9638,13.5,9.8728
strobealign-caa3745f-mcsfirststrobe,align,sim0,maize,se,300,1000000,100.0,0,92.7584,92.75781,99.5262,18.8,9.85832
strobealign-caa3745f-mcsfirststrobe,align,sim0,maize,se,500,1000000,100.0,0,96.3567,96.35637,99.8719,26.0,8.19102
strobealign-caa3745f-mcsfirststrobe,align,sim4,maize,se,50,1000000,91.2612,77,48.3077,48.12979,87.3268,10.6,9.81168
strobealign-caa3745f-mcsfirststrobe,align,sim4,maize,se,75,1000000,96.0573,102,61.0818,60.764,91.5424,11.8,9.81763
strobealign-caa3745f-mcsfirststrobe,align,sim4,maize,se,100,1000000,97.9762,113,69.4349,69.00593,92.6911,13.8,9.82426
strobealign-caa3745f-mcsfirststrobe,align,sim4,maize,se,150,1000000,99.9827,171,79.1481,78.65834,94.2905,20.2,9.94073
strobealign-caa3745f-mcsfirststrobe,align,sim4,maize,se,200,1000000,99.9751,249,84.8882,84.42887,95.6093,30.8,9.92969
strobealign-caa3745f-mcsfirststrobe,align,sim4,maize,se,300,1000000,99.9697,303,90.882,90.49641,97.423,48.8,9.91443
strobealign-caa3745f-mcsfirststrobe,align,sim4,maize,se,500,1000000,99.9475,525,95.5195,95.21001,99.1135,86.8,8.27213
strobealign-caa3745f-mcsfirststrobe,align,sim6,maize,se,50,1000000,85.2412,79,30.8767,30.24871,71.7891,12.0,9.81287
strobealign-caa3745f-mcsfirststrobe,align,sim6,maize,se,75,1000000,90.4642,106,41.7782,40.72025,74.9146,17.2,9.81542
strobealign-caa3745f-mcsfirststrobe,align,sim6,maize,se,100,1000000,95.5188,113,50.7855,49.21008,78.4628,23.3,9.82246
strobealign-caa3745f-mcsfirststrobe,align,sim6,maize,se,150,1000000,99.1469,164,61.7204,59.20026,82.4897,37.5,9.86654
strobealign-caa3745f-mcsfirststrobe,align,sim6,maize,se,200,1000000,99.5414,243,68.1612,65.02902,85.2284,57.9,9.8631
strobealign-caa3745f-mcsfirststrobe,align,sim6,maize,se,300,1000000,99.9371,293,77.4226,73.98895,90.537,111.5,9.90355
strobealign-caa3745f-mcsfirststrobe,align,sim6,maize,se,500,1000000,99.9523,462,86.114,83.27817,95.7539,268.4,8.25924
strobealign-caa3745f,map,sim0,maize,se,50,1000000,98.376,0,47.694,42.78308,,8.2,9.80722
strobealign-caa3745f,map,sim0,maize,se,75,1000000,99.4856,0,60.3076,54.70451,,7.5,9.81239
strobealign-caa3745f,map,sim0,maize,se,100,1000000,99.8929,0,69.2037,63.58375,,7.3,9.81902
strobealign-caa3745f,map,sim0,maize,se,150,1000000,100.0,0,80.0954,75.29602,,7.7,9.87039
strobealign-caa3745f,map,sim0,maize,se,200,1000000,100.0,0,85.9412,81.92736,,9.5,9.82403
strobealign-caa3745f,map,sim0,maize,se,300,1000000,100.0,0,91.4241,87.80369,,14.4,9.82729
strobealign-caa3745f,map,sim0,maize,se,500,1000000,100.0,0,95.547,92.44599,,17.9,8.17996
strobealign-caa3745f,map,sim4,maize,se,50,1000000,98.1594,45,43.516,36.61828,,7.2,9.81282
strobealign-caa3745f,map,sim4,maize,se,75,1000000,99.4972,73,55.5621,47.10589,,6.6,9.81886
strobealign-caa3745f,map,sim4,maize,se,100,1000000,99.9092,88,64.21,55.21016,,6.2,9.82491
strobealign-caa3745f,map,sim4,maize,se,150,1000000,99.9829,150,75.3474,66.86627,,6.2,9.92075
strobealign-caa3745f,map,sim4,maize,se,200,1000000,99.9751,218,81.7668,73.70574,,7.8,9.88396
strobealign-caa3745f,map,sim4,maize,se,300,1000000,99.9697,288,88.4585,81.05552,,11.7,9.88806
strobealign-caa3745f,map,sim4,maize,se,500,1000000,99.9475,509,93.5843,86.89286,,14.4,8.34661
strobealign-caa3745f,map,sim6,maize,se,50,1000000,86.8891,56,23.8283,15.22486,,4.0,9.81387
strobealign-caa3745f,map,sim6,maize,se,75,1000000,91.1017,71,32.0691,19.28608,,4.0,9.81873
strobealign-caa3745f,map,sim6,maize,se,100,1000000,95.7731,82,39.4178,24.10742,,4.1,9.82514
strobealign-caa3745f,map,sim6,maize,se,150,1000000,99.1488,144,49.989,32.39023,,4.1,9.83167
strobealign-caa3745f,map,sim6,maize,se,200,1000000,99.5414,214,56.1278,36.70595,,4.8,9.8302
strobealign-caa3745f,map,sim6,maize,se,300,1000000,99.9371,275,66.4316,47.034,,6.7,9.88143
strobealign-caa3745f,map,sim6,maize,se,500,1000000,99.9523,451,75.5636,56.62898,,9.6,8.27071
strobealign-caa3745f-mcsrescue,map,sim0,maize,se,50,1000000,98.3738,0,46.9251,41.11066,,7.7,9.8066
strobealign-caa3745f-mcsrescue,map,sim0,maize,se,75,1000000,99.485,0,59.5257,53.32743,,7.8,9.812
strobealign-caa3745f-mcsrescue,map,sim0,maize,se,100,1000000,99.8927,0,68.242,62.1035,,7.2,9.81841
strobealign-caa3745f-mcsrescue,map,sim0,maize,se,150,1000000,99.9992,0,79.4966,74.07809,,7.2,9.87165
strobealign-caa3745f-mcsrescue,map,sim0,maize,se,200,1000000,100.0,0,85.6137,80.95993,,8.3,9.82409
strobealign-caa3745f-mcsrescue,map,sim0,maize,se,300,1000000,100.0,0,91.2361,87.14936,,12.8,9.87303
