tool,type,dataset,genome,ends,read_length,aligned,accuracy,overaligned,time,memory
strobealign-mcs-022a721,map,sim4,drosophila,se,75,99.3028,86.8757,905,4.95,0.753777
strobealign-mcs-022a721,map,sim4,drosophila,se,100,99.6193,88.2473,1597,5.21,0.776871
strobealign-mcs-022a721,map,sim4,drosophila,se,150,99.5905,89.8141,2055,6.61,0.81905
strobealign-mcs-022a721,map,sim4,drosophila,se,200,99.539,90.8082,2740,7.79,0.862099
strobealign-mcs-022a721,map,sim4,drosophila,se,300,99.428,92.0986,4261,10.87,0.95145
strobealign-mcs-022a721,map,sim4,drosophila,se,500,99.2182,93.2426,6935,12.52,0.996078
strobealign-mcs-022a721,map,sim5,drosophila,se,50,97.2505,82.3635,1945,3.66,0.732616
strobealign-mcs-022a721,map,sim5,drosophila,se,75,97.7708,85.361,1747,4.96,0.752285
strobealign-mcs-022a721,map,sim5,drosophila,se,100,98.7751,87.0503,3100,5.12,0.775482
strobealign-mcs-022a721,map,sim5,drosophila,se,150,99.1207,89.0068,3940,6.38,0.818977
strobealign-mcs-022a721,map,sim5,drosophila,se,200,99.0697,90.0266,5293,7.84,0.862015
strobealign-mcs-022a721,map,sim5,drosophila,se,300,98.8896,91.4041,8050,10.68,0.948818
strobealign-mcs-022a721,map,sim5,drosophila,se,500,98.5462,92.1939,12599,11.46,0.962811
minimap2,map,sim3,drosophila,se,50,92.1518,79.5481,178,5.162,1.02969
minimap2,map,sim3,drosophila,se,75,99.2447,87.2908,399,5.523,1.01846
minimap2,map,sim3,drosophila,se,100,99.7443,88.9176,660,6.678,0.979511
minimap2,map,sim3,drosophila,se,150,99.7854,90.57,1061,8.760,0.961571
minimap2,map,sim3,drosophila,se,200,99.7451,91.6701,1504,11.068,0.930595
minimap2,map,sim3,drosophila,se,300,99.6952,92.9997,2258,16.473,0.8755
minimap2,map,sim3,drosophila,se,500,99.5781,94.436,3765,30.323,0.858601
minimap2,map,sim4,drosophila,se,50,83.818,72.2533,274,5.272,1.03084
minimap2,map,sim4,drosophila,se,75,97.3055,85.3245,712,5.489,1.00663
minimap2,map,sim4,drosophila,se,100,99.2387,88.2033,1142,6.393,0.977039
minimap2,map,sim4,drosophila,se,150,99.5822,90.2003,1930,8.062,0.953053
minimap2,map,sim4,drosophila,se,200,99.5394,91.2908,2683,10.367,0.933132
minimap2,map,sim4,drosophila,se,300,99.428,92.5756,4202,15.219,0.871651
minimap2,map,sim4,drosophila,se,500,99.2182,93.99,6933,26.508,0.856319
minimap2,map,sim5,drosophila,se,50,81.2385,69.9573,496,5.040,1.00788
minimap2,map,sim5,drosophila,se,75,95.1085,83.3583,1371,5.316,1.01807
minimap2,map,sim5,drosophila,se,100,97.5811,86.6598,2219,6.496,0.979324
minimap2,map,sim5,drosophila,se,150,98.913,89.4396,3696,8.233,0.960323
minimap2,map,sim5,drosophila,se,200,99.0614,90.7024,5132,10.119,0.916695
minimap2,map,sim5,drosophila,se,300,98.8895,91.9941,7952,14.810,0.870083
minimap2,map,sim5,drosophila,se,500,98.5462,93.0724,12612,23.414,0.848267
strobealign-0.14.0,align,sim3,maize,se,50,96.4244,48.0752,1561,29.20,9.78297
strobealign-0.14.0,align,sim3,maize,se,75,99.0195,61.8245,1770,32.18,9.78904
strobealign-0.14.0,align,sim3,maize,se,100,99.516,70.5031,1878,31.80,9.79731
strobealign-0.14.0,align,sim3,maize,se,150,99.7324,81.2187,2195,34.72,9.81189
strobealign-0.14.0,align,sim3,maize,se,200,99.753,86.7521,2389,39.82,9.86145
strobealign-0.14.0,align,sim3,maize,se,300,99.6873,91.8069,3115,65.70,9.9786
strobealign-0.14.0,align,sim3,maize,se,500,99.5686,95.399,4307,97.70,8.3578
strobealign-0.14.0,align,sim4,maize,se,50,93.8463,44.9748,3148,27.92,9.78278
strobealign-0.14.0,align,sim4,maize,se,75,98.099,59.1555,3380,33.76,9.78904
strobealign-0.14.0,align,sim4,maize,se,100,98.7384,67.6694,3622,35.89,9.79734
strobealign-0.14.0,align,sim4,maize,se,150,99.2869,78.9445,4148,39.96,9.80463
strobealign-0.14.0,align,sim4,maize,se,200,99.4261,84.9215,4934,54.54,9.86612
strobealign-0.14.0,align,sim4,maize,se,300,99.4057,90.5812,5920,89.10,9.97262
strobealign-0.14.0,align,sim4,maize,se,500,99.2043,94.4401,7955,151.81,8.34729
strobealign-0.14.0,align,sim5,maize,se,50,91.5472,43.6054,6175,28.39,9.78296
strobealign-0.14.0,align,sim5,maize,se,75,96.1785,57.5045,6641,34.02,9.78909
strobealign-0.14.0,align,sim5,maize,se,100,97.0344,65.819,7257,37.05,9.79753
strobealign-0.14.0,align,sim5,maize,se,150,97.7801,76.8637,8206,43.56,9.80588
